tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
63.00;331667964#4_1;46.11;12.97;5.00;4.00;37571582#0_1;3.70;0.00;tripinfo_Auto_18;58.00;Auto_18;0;557.95;0.94;0.00;14.65;Car;;0;0.00
64.00;331667964#4_1;46.11;13.84;8.00;3.00;37571582#0_1;2.70;0.00;tripinfo_Bus_52;56.00;Bus_52;0;558.95;1.02;0.00;16.40;Auto;;0;0.00
65.00;167457326_1;304.94;14.83;4.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Auto_42;61.00;Auto_42;0;500.26;1.09;0.00;27.58;Auto;;0;0.00
66.00;317371668#1_1;150.53;13.32;43.00;6.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_293;23.00;MotorCycle_293;0;146.83;1.14;0.00;13.67;Car;;1;1.00
67.00;167457326_1;304.94;14.23;8.00;4.00;317766697#1_1;3.70;0.00;tripinfo_Auto_43;59.00;Auto_43;0;499.26;1.04;0.00;23.66;Car;;0;0.00
69.00;167457326_1;304.94;14.20;10.00;1.00;317766697#1_1;1.95;0.00;tripinfo_Car_80;59.00;Car_80;0;501.01;1.03;0.00;23.20;MotorCycle;;1;1.00
70.00;167457326_1;304.94;14.62;15.00;0.00;317766697#1_1;2.70;0.00;tripinfo_Auto_136;55.00;Auto_136;0;500.26;1.12;0.00;22.14;Auto;;0;0.00
71.00;36897741#0_1;60.96;10.44;12.00;3.00;167456697_1;1.95;0.00;tripinfo_Car_79;59.00;Car_79;0;384.21;1.09;0.00;32.55;MotorCycle;;1;7.00
74.00;36897741#0_1;60.96;10.75;15.00;2.00;167456697_1;1.95;0.00;tripinfo_Car_109;59.00;Car_109;0;384.21;0.96;0.00;28.53;MotorCycle;;1;6.00
75.00;331667964#4_1;46.11;11.83;13.00;0.00;37571582#0_1;2.70;0.00;tripinfo_Car_111;62.00;Car_111;0;558.95;0.87;0.00;15.25;Auto;;0;0.00
76.00;36897741#0_1;60.96;10.26;18.00;5.00;167456697_1;3.70;0.00;tripinfo_Car_110;58.00;Car_110;0;382.46;0.93;0.00;26.45;Car;;1;4.00
78.00;36897741#0_1;60.96;10.58;21.00;2.00;167456697_1;1.95;0.00;tripinfo_Auto_169;57.00;Auto_169;0;384.21;0.94;0.00;25.62;MotorCycle;;1;2.00
78.00;331667964#4_1;46.11;13.44;22.00;0.00;37571582#0_1;1.95;0.00;tripinfo_Car_188;56.00;Car_188;0;559.70;0.97;0.00;13.95;MotorCycle;;0;0.00
79.00;36897741#0_1;60.96;10.06;24.00;5.00;167456697_1;3.70;0.00;tripinfo_Auto_170;55.00;Auto_170;0;382.46;1.09;0.00;28.59;Car;;1;2.00
82.00;317371668#1_1;150.53;12.90;59.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_443;23.00;Bus_443;0;147.83;1.24;0.00;13.16;Auto;;0;0.00
83.00;167457326_1;304.94;12.63;18.00;1.00;317766697#1_1;2.70;0.00;tripinfo_Auto_153;65.00;Auto_153;0;500.26;0.93;0.00;25.76;Auto;;0;0.00
83.00;317371668#1_1;150.53;12.73;62.00;3.00;317371668#1_1;1.95;0.00;tripinfo_Bus_444;21.00;Bus_444;0;148.58;0.96;0.00;9.68;MotorCycle;;0;0.00
84.00;167457326_1;304.94;13.45;22.00;1.00;317766697#1_1;2.70;0.00;tripinfo_MotorCycle_180;62.00;MotorCycle_180;0;500.26;1.10;0.00;29.12;Auto;;0;0.00
88.00;167457326_1;304.94;12.10;29.00;0.00;317766697#1_1;1.95;0.00;tripinfo_Car_237;59.00;Car_237;0;501.01;0.88;0.00;17.53;MotorCycle;;0;0.00
89.00;317371668#1_1;150.53;13.72;68.00;0.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_511;21.00;MotorCycle_511;0;148.58;1.01;0.00;9.70;MotorCycle;;0;0.00
92.00;317371668#1_1;150.53;13.57;71.00;0.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_533;21.00;MotorCycle_533;0;148.58;0.99;0.00;10.06;MotorCycle;;0;0.00
97.00;317371668#1_1;150.53;12.96;75.00;4.00;317371668#1_1;3.70;0.00;tripinfo_MotorCycle_534;22.00;MotorCycle_534;0;146.83;1.04;0.00;11.48;Car;;0;0.00
101.00;317371668#1_1;150.53;12.83;79.00;5.00;317371668#1_1;3.70;0.00;tripinfo_Car_560;22.00;Car_560;0;146.83;1.13;0.00;12.54;Car;;0;0.00
105.00;331667964#4_1;46.11;15.23;50.00;0.00;37571582#0_1;1.95;0.00;tripinfo_Auto_384;55.00;Auto_384;0;559.70;1.10;0.00;17.72;MotorCycle;;0;0.00
105.00;317371668#1_1;150.53;12.54;82.00;5.00;317371668#1_1;2.70;0.00;tripinfo_Bus_588;23.00;Bus_588;0;147.83;0.95;0.00;11.37;Auto;;0;0.00
107.00;331667964#4_1;46.11;13.83;53.00;0.00;37571582#0_1;1.95;0.00;tripinfo_MotorCycle_402;54.00;MotorCycle_402;0;559.70;1.02;0.00;13.84;MotorCycle;;0;0.00
108.00;317371668#1_1;150.53;12.49;85.00;1.00;317371668#1_1;2.70;0.00;tripinfo_Bus_666;23.00;Bus_666;0;147.83;1.06;0.00;12.76;Auto;;0;0.00
110.00;317371668#1_1;150.53;13.13;88.00;3.00;317371668#1_1;1.95;0.00;tripinfo_Bus_673;22.00;Bus_673;0;148.58;1.02;0.00;10.96;MotorCycle;;0;0.00
