tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
375.00;173008341#6_1;117.82;12.88;121.00;18.00;330925771#2_1;10.20;0.00;tripinfo_MotorCycle_798;254.00;MotorCycle_798;0;1750.66;0.95;0.00;118.93;Bus;;3;46.00
376.00;-37555829#0_1;633.17;13.68;53.00;24.00;166751738#1_1;3.70;0.00;tripinfo_Auto_236;323.00;Auto_236;0;1637.77;1.04;0.00;206.39;Car;;3;112.00
377.00;-37555829#0_1;633.17;13.42;56.00;21.00;166751738#1_1;2.70;0.00;tripinfo_Bus_272;321.00;Bus_272;0;1638.77;1.05;0.00;206.00;Auto;;2;108.00
377.00;317371668#1_1;150.53;13.88;356.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2714;21.00;Auto_2714;0;148.58;1.02;0.00;9.97;MotorCycle;;0;0.00
379.00;-36907635#0_1;285.07;13.10;21.00;13.00;324991740#4_1;1.95;0.00;tripinfo_Bus_59;358.00;Bus_59;0;1742.50;0.97;0.00;226.41;MotorCycle;;3;153.00
379.00;-37555829#0_1;633.17;13.28;59.00;24.00;166751738#1_1;1.95;0.00;tripinfo_Bus_273;320.00;Bus_273;0;1639.52;0.98;0.00;196.23;MotorCycle;;3;110.00
380.00;-37555829#0_1;633.17;13.13;62.00;25.00;166751738#1_1;2.70;0.00;tripinfo_Car_290;318.00;Car_290;0;1638.77;0.97;0.00;192.40;Auto;;3;103.00
381.00;-330925771#2_1;98.00;12.73;0.00;0.00;172932752#4_1;1.95;0.00;tripinfo_Car_2;381.00;Car_2;0;1945.35;1.01;0.00;238.92;MotorCycle;;8;111.00
382.00;-37555829#0_1;633.17;13.34;65.00;28.00;166751738#1_1;1.95;0.00;tripinfo_Car_291;317.00;Car_291;0;1639.52;0.97;0.00;190.91;MotorCycle;;3;102.00
382.00;36897741#0_1;60.96;10.91;167.00;16.00;167456697_1;1.95;0.00;tripinfo_Car_1164;215.00;Car_1164;0;384.21;0.89;0.00;182.48;MotorCycle;;5;101.00
383.00;-37555829#0_1;633.17;14.11;68.00;29.00;166751738#1_1;1.95;0.00;tripinfo_MotorCycle_306;315.00;MotorCycle_306;0;1639.52;1.06;0.00;200.15;MotorCycle;;3;101.00
384.00;167584712_1;145.02;12.14;19.00;0.00;-358333263#1_1;10.20;0.00;tripinfo_MotorCycle_164;365.00;MotorCycle_164;0;1996.66;1.05;0.00;229.39;Bus;;4;139.00
384.00;-37555829#0_1;633.17;13.66;72.00;33.00;166751738#1_1;3.70;0.00;tripinfo_MotorCycle_307;312.00;MotorCycle_307;0;1637.77;0.99;0.00;189.42;Car;;5;99.00
384.00;167589230#4_1;143.24;9.42;54.00;0.00;167584430#0_1;1.95;0.00;tripinfo_Auto_407;330.00;Auto_407;0;1984.29;0.86;0.00;153.08;MotorCycle;;2;103.00
384.00;317371668#1_1;150.53;12.38;361.00;0.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_2744;23.00;MotorCycle_2744;0;147.83;0.99;0.00;12.06;Auto;;0;0.00
385.00;-36907357#1_1;86.83;10.54;13.00;5.00;167462465_1;2.70;0.00;tripinfo_Car_62;372.00;Car_62;0;1940.77;1.02;0.00;234.26;Auto;;5;138.00
385.00;-37555829#0_1;633.17;13.95;75.00;21.00;166751738#1_1;2.70;0.00;tripinfo_Bus_410;310.00;Bus_410;0;1638.77;1.10;0.00;200.33;Auto;;4;98.00
385.00;36897741#0_1;60.96;9.31;170.00;15.00;167456697_1;2.70;0.00;tripinfo_Auto_1187;215.00;Auto_1187;0;383.46;0.93;0.00;183.75;Auto;;5;98.00
386.00;167584712_1;145.02;12.56;22.00;3.00;-358333263#1_1;1.95;0.00;tripinfo_MotorCycle_165;364.00;MotorCycle_165;0;2004.91;0.91;0.00;209.57;MotorCycle;;3;132.00
386.00;167589230#4_1;143.24;10.38;57.00;3.00;167584430#0_1;3.70;0.00;tripinfo_Auto_408;329.00;Auto_408;0;1982.54;1.01;0.00;178.44;Car;;3;102.00
387.00;-36907357#1_1;86.83;10.89;17.00;4.00;167462465_1;2.70;0.00;tripinfo_Car_106;370.00;Car_106;0;1940.77;1.01;0.00;231.89;Auto;;5;135.00
387.00;167584712_1;145.02;13.12;24.00;3.00;-358333263#1_1;1.95;0.00;tripinfo_MotorCycle_174;363.00;MotorCycle_174;0;2004.91;0.96;0.00;215.01;MotorCycle;;3;130.00
387.00;167589230#4_1;143.24;10.11;70.00;0.00;167584430#0_1;2.70;0.00;tripinfo_Auto_523;317.00;Auto_523;0;1983.54;0.98;0.00;160.88;Auto;;2;99.00
388.00;-37555829#0_1;633.17;12.79;81.00;26.00;166751738#1_1;10.20;0.00;tripinfo_MotorCycle_418;307.00;MotorCycle_418;0;1631.27;0.92;0.00;176.16;Bus;;4;100.00
388.00;36897741#0_1;60.96;8.80;176.00;18.00;167456697_1;10.20;0.00;tripinfo_Bus_1210;212.00;Bus_1210;0;375.96;1.09;0.00;185.83;Bus;;4;96.00
389.00;-36907357#1_1;86.83;10.85;20.00;6.00;167462465_1;2.70;0.00;tripinfo_Auto_121;369.00;Auto_121;0;1940.77;1.10;0.00;241.85;Auto;;5;133.00
389.00;-37555829#0_1;633.17;13.40;85.00;30.00;166751738#1_1;3.70;0.00;tripinfo_MotorCycle_419;304.00;MotorCycle_419;0;1637.77;1.03;0.00;187.21;Car;;6;99.00
391.00;-37555829#0_1;633.17;14.13;89.00;29.00;166751738#1_1;2.70;0.00;tripinfo_Auto_447;302.00;Auto_447;0;1638.77;1.20;0.00;196.74;Auto;;6;93.00
392.00;-37555829#0_1;633.17;14.37;92.00;25.00;166751738#1_1;1.95;0.00;tripinfo_MotorCycle_500;300.00;MotorCycle_500;0;1639.52;1.07;0.00;186.71;MotorCycle;;5;89.00
402.00;317371668#1_1;150.53;12.51;379.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Auto_2882;23.00;Auto_2882;0;147.83;1.01;0.00;12.23;Auto;;0;0.00
403.00;244327260#6_0;209.72;15.03;30.00;19.00;244329796#13_1;3.70;0.00;tripinfo_MotorCycle_94;373.00;MotorCycle_94;0;1538.02;1.09;0.00;271.02;Car;;6;166.00
404.00;173008341#6_1;117.82;12.51;124.00;21.00;330925771#2_1;1.95;0.00;tripinfo_MotorCycle_799;280.00;MotorCycle_799;0;1758.91;0.93;0.00;141.95;MotorCycle;;4;75.00
405.00;317371668#1_1;150.53;12.52;383.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2883;22.00;Auto_2883;0;146.83;0.91;0.00;10.17;Car;;0;0.00
406.00;173008341#6_1;117.82;13.84;126.00;15.00;330925771#2_1;1.95;0.00;tripinfo_Car_855;280.00;Car_855;0;1758.91;1.03;0.00;155.58;MotorCycle;;4;73.00
