tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
414.00;317371668#1_1;150.53;11.45;389.00;9.00;317371668#1_1;10.20;0.00;tripinfo_Bus_2886;25.00;Bus_2886;0;140.33;1.06;0.00;14.73;Bus;;0;0.00
415.00;167457326_1;304.94;13.91;216.00;49.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1272;199.00;Auto_1272;0;500.26;1.03;0.00;163.89;Auto;;5;75.00
417.00;317371668#1_1;150.53;12.25;392.00;12.00;317371668#1_1;2.70;0.00;tripinfo_Bus_2887;25.00;Bus_2887;0;147.83;1.02;0.00;14.27;Auto;;0;0.00
418.00;-166800604#5_1;282.77;13.90;22.00;8.00;-167456093_1;3.70;0.00;tripinfo_MotorCycle_113;396.00;MotorCycle_113;0;3004.11;1.01;0.00;178.71;Car;;5;77.00
418.00;167457326_1;304.94;12.68;219.00;52.00;317766697#1_1;1.95;0.00;tripinfo_Auto_1273;199.00;Auto_1273;0;501.01;0.94;0.00;160.50;MotorCycle;;5;74.00
419.00;-166800604#5_1;282.77;13.73;25.00;10.00;-167456093_1;1.95;0.00;tripinfo_Car_129;394.00;Car_129;0;3005.86;1.01;0.00;177.56;MotorCycle;;5;69.00
419.00;317371668#1_1;150.53;11.44;395.00;15.00;317371668#1_1;1.95;0.00;tripinfo_Bus_2888;24.00;Bus_2888;0;148.58;0.84;0.00;10.65;MotorCycle;;0;0.00
420.00;167457326_1;304.94;12.98;222.00;54.00;317766697#1_1;2.70;0.00;tripinfo_MotorCycle_1283;198.00;MotorCycle_1283;0;500.26;0.94;0.00;158.93;Auto;;6;75.00
421.00;36897741#0_1;60.96;10.25;191.00;30.00;167456697_1;1.95;0.00;tripinfo_Car_1238;230.00;Car_1238;0;384.21;0.97;0.00;200.01;MotorCycle;;9;90.00
422.00;317371668#1_1;150.53;11.64;399.00;19.00;317371668#1_1;3.70;0.00;tripinfo_Bus_2889;23.00;Bus_2889;0;146.83;0.84;0.00;9.77;Car;;0;0.00
423.00;317371668#1_1;150.53;12.07;402.00;11.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2984;21.00;Auto_2984;0;148.58;0.95;0.00;9.69;MotorCycle;;0;0.00
424.00;36897741#0_1;60.96;9.31;195.00;27.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1282;229.00;MotorCycle_1282;0;383.46;1.01;0.00;200.37;Auto;;8;85.00
426.00;331667964#4_1;46.11;8.18;191.00;5.00;37571582#0_1;2.70;0.00;tripinfo_MotorCycle_1427;235.00;MotorCycle_1427;0;558.95;0.89;0.00;189.41;Auto;;11;77.00
427.00;317371668#1_1;150.53;13.71;405.00;12.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2998;22.00;Auto_2998;0;146.83;1.07;0.00;11.28;Car;;0;0.00
428.00;331667964#4_1;46.11;8.33;195.00;9.00;37571582#0_1;1.95;0.00;tripinfo_MotorCycle_1428;233.00;MotorCycle_1428;0;559.70;1.04;0.00;193.78;MotorCycle;;9;71.00
428.00;317371668#1_1;150.53;12.84;408.00;13.00;317371668#1_1;1.95;0.00;tripinfo_Auto_3020;20.00;Auto_3020;0;148.58;0.95;0.00;8.73;MotorCycle;;0;0.00
429.00;-330925771#2_1;98.00;12.56;0.00;0.00;172932752#4_1;1.95;0.00;tripinfo_Car_2;429.00;Car_2;0;1945.35;1.01;0.00;287.55;MotorCycle;;9;150.00
430.00;167457326_1;304.94;12.21;226.00;58.00;317766697#1_1;3.70;0.00;tripinfo_MotorCycle_1284;204.00;MotorCycle_1284;0;499.26;0.89;0.00;163.05;Car;;7;76.00
431.00;167457326_1;304.94;12.82;229.00;56.00;317766697#1_1;1.95;0.00;tripinfo_Car_1315;202.00;Car_1315;0;501.01;1.10;0.00;169.14;MotorCycle;;8;75.00
432.00;-166751738#1_1;130.81;12.43;0.00;0.00;37555829#0_1;2.70;0.00;tripinfo_Car_3;432.00;Car_3;0;1639.90;1.08;0.00;320.37;Auto;;3;244.00
433.00;-166751738#1_1;130.81;11.64;18.00;13.00;37555829#0_1;3.70;0.00;tripinfo_Auto_49;415.00;Auto_49;0;1638.90;0.85;0.00;272.73;Car;;3;214.00
433.00;-330925771#2_1;98.00;10.73;14.00;0.00;172932752#4_1;2.70;0.00;tripinfo_Bus_123;419.00;Bus_123;0;1944.60;1.02;0.00;279.90;Auto;;9;141.00
433.00;36897741#0_1;60.96;11.03;198.00;28.00;167456697_1;1.95;0.00;tripinfo_Auto_1299;235.00;Auto_1299;0;384.21;1.00;0.00;205.49;MotorCycle;;9;86.00
434.00;317371668#1_1;150.53;11.93;411.00;15.00;317371668#1_1;2.70;0.00;tripinfo_Auto_3032;23.00;Auto_3032;0;147.83;0.86;0.00;10.46;Auto;;0;0.00
436.00;-166751738#1_1;130.81;12.48;24.00;12.00;37555829#0_1;10.20;0.00;tripinfo_Auto_100;412.00;Auto_100;0;1632.40;1.07;0.00;298.94;Bus;;4;202.00
436.00;36897741#0_1;60.96;9.41;201.00;16.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1414;235.00;MotorCycle_1414;0;383.46;0.87;0.00;201.42;Auto;;10;75.00
437.00;317371668#1_1;150.53;12.80;415.00;19.00;317371668#1_1;3.70;0.00;tripinfo_Auto_3033;22.00;Auto_3033;0;146.83;0.95;0.00;10.81;Car;;0;0.00
438.00;-166751738#1_1;130.81;13.18;27.00;15.00;37555829#0_1;1.95;0.00;tripinfo_Auto_101;411.00;Auto_101;0;1640.65;0.96;0.00;284.01;MotorCycle;;5;192.00
438.00;331667964#4_1;46.11;8.36;198.00;1.00;37571582#0_1;2.70;0.00;tripinfo_Car_1497;240.00;Car_1497;0;558.95;1.21;0.00;205.01;Auto;;9;70.00
439.00;-166751738#1_1;130.81;13.02;30.00;16.00;37555829#0_1;1.95;0.00;tripinfo_Auto_126;409.00;Auto_126;0;1640.65;1.03;0.00;291.23;MotorCycle;;4;189.00
439.00;173008341#6_1;117.82;15.16;87.00;9.00;330925771#2_1;2.70;0.00;tripinfo_Car_595;352.00;Car_595;0;1758.16;1.12;0.00;237.00;Auto;;5;148.00
440.00;-166751738#1_1;130.81;12.72;34.00;19.00;37555829#0_1;3.70;0.00;tripinfo_MotorCycle_134;406.00;MotorCycle_134;0;1638.90;1.23;0.00;307.94;Car;;6;186.00
440.00;331667964#4_1;46.11;8.62;202.00;5.00;37571582#0_1;3.70;0.00;tripinfo_Car_1498;238.00;Car_1498;0;557.95;1.10;0.00;201.43;Car;;9;69.00
441.00;-330925771#2_1;98.00;12.57;17.00;3.00;172932752#4_1;1.95;0.00;tripinfo_Bus_124;424.00;Bus_124;0;1945.35;1.06;0.00;289.11;MotorCycle;;9;145.00
442.00;173008341#6_1;117.82;15.26;91.00;11.00;330925771#2_1;2.70;0.00;tripinfo_Auto_617;351.00;Auto_617;0;1758.16;1.11;0.00;235.00;Auto;;7;135.00
442.00;317371668#1_1;150.53;12.37;419.00;18.00;317371668#1_1;2.70;0.00;tripinfo_Auto_3067;23.00;Auto_3067;0;147.83;1.17;0.00;13.52;Auto;;0;0.00
443.00;-166751738#1_1;130.81;13.00;40.00;23.00;37555829#0_1;10.20;0.00;tripinfo_Auto_148;403.00;Auto_148;0;1632.40;0.97;0.00;278.49;Bus;;6;174.00
444.00;-330925771#2_1;98.00;11.28;20.00;5.00;172932752#4_1;3.70;0.00;tripinfo_MotorCycle_133;424.00;MotorCycle_133;0;1943.60;1.04;0.00;287.46;Car;;11;142.00
445.00;-166751738#1_1;130.81;13.98;43.00;26.00;37555829#0_1;1.95;0.00;tripinfo_Auto_149;402.00;Auto_149;0;1640.65;1.04;0.00;286.06;MotorCycle;;4;169.00
445.00;317371668#1_1;150.53;12.70;423.00;22.00;317371668#1_1;3.70;0.00;tripinfo_Auto_3068;22.00;Auto_3068;0;146.83;1.11;0.00;11.95;Car;;0;0.00
446.00;-166751738#1_1;130.81;12.16;53.00;33.00;37555829#0_1;1.95;0.00;tripinfo_MotorCycle_171;393.00;MotorCycle_171;0;1640.65;0.90;0.00;258.05;MotorCycle;;4;162.00
448.00;-166751738#1_1;130.81;12.97;55.00;34.00;37555829#0_1;1.95;0.00;tripinfo_Car_178;393.00;Car_178;0;1640.65;1.08;0.00;281.11;MotorCycle;;7;162.00
448.00;167457326_1;304.94;13.71;232.00;56.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1336;216.00;Auto_1336;0;500.26;1.01;0.00;179.76;Auto;;8;83.00
449.00;-166751738#1_1;130.81;11.39;62.00;39.00;37555829#0_1;2.70;0.00;tripinfo_MotorCycle_199;387.00;MotorCycle_199;0;1639.90;0.83;0.00;241.13;Auto;;5;142.00
450.00;317371668#1_1;150.53;12.82;426.00;22.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_3089;24.00;MotorCycle_3089;0;147.83;0.96;0.00;12.39;Auto;;0;0.00
451.00;-166751738#1_1;130.81;12.52;65.00;42.00;37555829#0_1;1.95;0.00;tripinfo_MotorCycle_200;386.00;MotorCycle_200;0;1640.65;0.95;0.00;258.56;MotorCycle;;7;138.00
451.00;167457326_1;304.94;12.35;235.00;59.00;317766697#1_1;1.95;0.00;tripinfo_Auto_1337;216.00;Auto_1337;0;501.01;0.90;0.00;175.52;MotorCycle;;8;81.00
451.00;36897741#0_1;60.96;9.56;204.00;19.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_1415;247.00;MotorCycle_1415;0;384.21;0.71;0.00;206.19;MotorCycle;;11;88.00
452.00;-166751738#1_1;130.81;12.42;72.00;38.00;37555829#0_1;3.70;0.00;tripinfo_MotorCycle_265;380.00;MotorCycle_265;0;1638.90;0.96;0.00;254.78;Car;;6;139.00
452.00;36897741#0_1;60.96;10.63;206.00;5.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_1518;246.00;MotorCycle_1518;0;384.21;1.01;0.00;217.10;MotorCycle;;10;85.00
452.00;317371668#1_1;150.53;13.30;429.00;25.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_3090;23.00;MotorCycle_3090;0;148.58;1.13;0.00;12.73;MotorCycle;;0;0.00
455.00;317371668#1_1;150.53;12.56;432.00;27.00;317371668#1_1;2.70;0.00;tripinfo_Auto_3105;23.00;Auto_3105;0;147.83;1.02;0.00;12.28;Auto;;0;0.00
456.00;-166800604#5_1;282.77;13.62;10.00;0.00;-167456093_1;2.70;0.00;tripinfo_MotorCycle_81;446.00;MotorCycle_81;0;3005.11;1.00;0.00;227.33;Auto;;6;106.00
456.00;36897741#0_1;60.96;9.03;210.00;5.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_1565;246.00;MotorCycle_1565;0;383.46;0.93;0.00;215.24;Auto;;11;80.00
457.00;317371668#1_1;150.53;12.73;435.00;30.00;317371668#1_1;1.95;0.00;tripinfo_Auto_3106;22.00;Auto_3106;0;148.58;1.01;0.00;10.83;MotorCycle;;0;0.00
458.00;36897741#0_1;60.96;9.31;213.00;8.00;167456697_1;1.95;0.00;tripinfo_MotorCycle_1566;245.00;MotorCycle_1566;0;384.21;1.08;0.00;218.00;MotorCycle;;9;75.00
