tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
352.00;167456094_1;468.82;12.15;1.00;0.00;29375467#1_0;1.95;0.00;tripinfo_MotorCycle_7;351.00;MotorCycle_7;0;3516.07;0.89;0.00;62.63;MotorCycle;;2;8.00
353.00;167456094_1;468.82;12.33;7.00;5.00;29375467#1_0;10.20;0.00;tripinfo_MotorCycle_20;346.00;MotorCycle_20;0;3507.82;1.02;0.00;96.11;Bus;;1;6.00
354.00;331667964#4_1;46.11;8.60;154.00;21.00;37571582#0_1;3.70;0.00;tripinfo_Auto_1024;200.00;Auto_1024;0;557.95;1.04;0.00;160.90;Car;;7;80.00
355.00;-37555829#0_1;633.17;12.75;5.00;3.00;166751738#1_1;1.95;0.00;tripinfo_Bus_29;350.00;Bus_29;0;1639.52;0.93;0.00;219.03;MotorCycle;;3;157.00
356.00;244327260#6_0;209.72;14.76;42.00;25.00;244329796#13_1;2.70;0.00;tripinfo_Car_152;314.00;Car_152;0;1539.02;1.07;0.00;210.52;Auto;;5;110.00
356.00;331667964#4_1;46.11;8.51;158.00;11.00;37571582#0_1;2.70;0.00;tripinfo_Bus_1130;198.00;Bus_1130;0;558.95;1.01;0.00;157.85;Auto;;6;76.00
356.00;317371668#1_1;150.53;12.20;334.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_2520;22.00;Auto_2520;0;146.83;0.91;0.00;9.58;Car;;0;0.00
358.00;-37555829#0_1;633.17;11.79;8.00;3.00;166751738#1_1;1.95;0.00;tripinfo_Bus_48;350.00;Bus_48;0;1639.52;0.88;0.00;212.35;MotorCycle;;3;154.00
358.00;-330925771#2_1;98.00;13.04;17.00;3.00;172932752#4_1;1.95;0.00;tripinfo_Bus_124;341.00;Bus_124;0;1945.35;1.06;0.00;206.21;MotorCycle;;9;89.00
358.00;244327260#6_0;209.72;13.66;46.00;27.00;244329796#13_1;1.95;0.00;tripinfo_Auto_168;312.00;Auto_168;0;1539.77;0.98;0.00;199.09;MotorCycle;;4;104.00
360.00;-37555829#0_1;633.17;12.75;11.00;3.00;166751738#1_1;2.70;0.00;tripinfo_Auto_64;349.00;Auto_64;0;1638.77;0.94;0.00;218.86;Auto;;3;146.00
360.00;-330925771#2_1;98.00;12.19;20.00;5.00;172932752#4_1;3.70;0.00;tripinfo_MotorCycle_133;340.00;MotorCycle_133;0;1943.60;1.04;0.00;202.31;Car;;10;86.00
361.00;335563875#0_1;147.10;13.32;18.00;3.00;36907357#1_1;2.70;0.00;tripinfo_MotorCycle_132;343.00;MotorCycle_132;0;1796.98;0.96;0.00;206.25;Auto;;5;107.00
361.00;317371668#1_1;150.53;12.06;337.00;1.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_2563;24.00;MotorCycle_2563;0;147.83;1.02;0.00;13.36;Auto;;0;0.00
362.00;-37555829#0_1;633.17;12.18;14.00;6.00;166751738#1_1;1.95;0.00;tripinfo_Auto_65;348.00;Auto_65;0;1639.52;0.88;0.00;210.01;MotorCycle;;3;144.00
362.00;167584712_1;145.02;12.26;22.00;3.00;-358333263#1_1;1.95;0.00;tripinfo_MotorCycle_165;340.00;MotorCycle_165;0;2004.91;0.91;0.00;185.38;MotorCycle;;5;108.00
363.00;-37555829#0_1;633.17;12.46;17.00;8.00;166751738#1_1;3.70;0.00;tripinfo_MotorCycle_72;346.00;MotorCycle_72;0;1637.77;0.94;0.00;217.45;Car;;3;140.00
363.00;167584712_1;145.02;13.09;24.00;3.00;-358333263#1_1;1.95;0.00;tripinfo_MotorCycle_174;339.00;MotorCycle_174;0;2004.91;0.96;0.00;190.83;MotorCycle;;5;100.00
363.00;317371668#1_1;150.53;12.87;340.00;4.00;317371668#1_1;1.95;0.00;tripinfo_MotorCycle_2564;23.00;MotorCycle_2564;0;148.58;1.02;0.00;11.85;MotorCycle;;1;1.00
365.00;-37555829#0_1;633.17;13.06;24.00;12.00;166751738#1_1;10.20;0.00;tripinfo_Auto_99;341.00;Auto_99;0;1631.27;1.10;0.00;230.75;Bus;;3;129.00
367.00;167461557#1_1;85.64;15.75;27.00;6.00;167584711#0_1;1.95;0.00;tripinfo_Car_173;340.00;Car_173;0;1620.61;1.14;0.00;237.17;MotorCycle;;7;117.00
367.00;-37555829#0_1;633.17;13.34;28.00;5.00;166751738#1_1;2.70;0.00;tripinfo_MotorCycle_198;339.00;MotorCycle_198;0;1638.77;1.06;0.00;224.98;Auto;;4;121.00
367.00;167589230#4_1;143.24;12.21;41.00;4.00;167584430#0_1;1.95;0.00;tripinfo_MotorCycle_288;326.00;MotorCycle_288;0;1984.29;1.10;0.00;187.78;MotorCycle;;5;100.00
367.00;317371668#1_1;150.53;12.68;344.00;5.00;317371668#1_1;3.70;0.00;tripinfo_Car_2590;23.00;Car_2590;0;146.83;0.94;0.00;10.89;Car;;0;0.00
368.00;-37555829#0_1;633.17;13.10;35.00;11.00;166751738#1_1;10.20;0.00;tripinfo_Auto_208;333.00;Auto_208;0;1631.27;0.96;0.00;208.08;Bus;;4;113.00
369.00;-36907635#0_1;285.07;14.08;18.00;10.00;324991740#4_1;10.20;0.00;tripinfo_Bus_58;351.00;Bus_58;0;1734.25;1.02;0.00;227.21;Bus;;3;145.00
370.00;-167186112#2_1;110.93;12.94;1.00;0.00;-167589230#4_1;1.95;0.00;tripinfo_MotorCycle_12;369.00;MotorCycle_12;0;1495.63;1.05;0.00;256.81;MotorCycle;;4;193.00
370.00;-37555829#0_1;633.17;14.02;38.00;11.00;166751738#1_1;1.95;0.00;tripinfo_Auto_221;332.00;Auto_221;0;1639.52;1.15;0.00;226.35;MotorCycle;;4;112.00
